seqname	type	rep1	rep2	rep3
FP024822_SAFB_1	promoter	578318	1003511	660265
FP010289_CENPW_2	promoter	555444	1063187	1533237
FP029320_AIFM1_1	promoter	370670	701632	594445
FP015643_LDHA_1	promoter	362478	678369	878924
FP007601_CLCN3_1	promoter	321113	618965	450718
FP018822_USPL1_1	promoter	318916	612264	312701
FP019830_ACYP1_1	promoter	298795	555184	624061
FP000224_CLCN6_1	promoter	294534	573615	286589
FP009639_ANKS1A_1	promoter	280385	526764	454660
FP003344_RPS27A_2	promoter	256036	477232	744450
FP007009_COX18_1	promoter	246111	452357	375881
FP023562_COL1A1_1	promoter	245155	458335	1053445
FP013676_DNAJC25_1	promoter	220198	416739	349685
FP008653_PCDHGB4_2	promoter	206579	378064	564827
FP027678_RRP1_1	promoter	204537	361992	164053
FP021200_TELO2_1	promoter	202228	370014	243112
FP001251_LRRC8D_4	promoter	193461	381865	247785
FP020884_ST20_1	promoter	190778	372533	413620
FP011679_HILPDA_1	promoter	185563	347766	346494
FP025623_ZNF571_2	promoter	180895	345261	428522
FP018243_BTG1_1	promoter	178894	337487	612857
FP017483_BHLHE41_4	promoter	170072	329724	354715
FP005386_GMPPB_1	promoter	165236	297227	348694
FP015142_CACUL1_1	promoter	160526	303184	466756
FP003134_IFT172_1	promoter	157095	285274	496420
FP006637_NSG1_2	promoter	155839	292482	267796
FP028877_PHF8_1	promoter	153805	274885	295110
FP013277_CLTA_1	promoter	147001	275429	307481
FP005334_IP6K2_1	promoter	141722	282831	206480
FP011322_ASNS_1	promoter	137901	266683	380108
FP022458_PELP1_1	promoter	137897	259193	434667
FP027691_C21orf2_1	promoter	137892	262897	153595
FP018587_PSMD9_1	promoter	137544	253691	272243
FP020649_SPG21_2	promoter	136535	246727	100301
FP005950_MCM2_1	promoter	134516	252554	208276
FP015867_SPI1_2	promoter	133453	261300	188515
FP028319_DESI1_1	promoter	130864	247410	367182
FP011847_CNTNAP2_2	promoter	130530	255623	199826
FP011126_BAZ1B_1	promoter	127445	239399	326066
FP005359_CCDC71_1	promoter	127113	246296	388847
FP020638_PCLAF_5	promoter	127020	245958	209030
FP014983_POLL_1	promoter	126020	244776	152987
FP015158_MCMBP_2	promoter	124524	230302	435325
FP011493_RASA4B_2	promoter	123872	225694	491027
FP000470_ZNF593_1	promoter	118840	217882	172549
FP012921_ZC3H3_2	promoter	117983	219172	234317
FP026597_MZF1_1	promoter	113471	211625	208342
FP019007_CKAP2_1	promoter	111497	214310	494677
FP006920_PAICS_3	promoter	109732	214571	339024
FP019964_LGMN_1	promoter	106137	204455	249875
FP014501_VSTM4_2	promoter	105408	211534	125784
FP013960_FAM78A_3	promoter	105264	207559	227728
FP011913_ASIC3_1	promoter	102612	202141	204605
FP001535_CD58_1	promoter	102003	186852	123681
FP008973_KIAA1191_1	promoter	100781	192906	233100
FP013092_NFIB_5	promoter	100323	197734	221093
FP005161_TTC21A_1	promoter	100136	188983	156674
FP014362_PDSS1_2	promoter	98993	193018	244880
FP019755_SMOC1_1	promoter	98348	186255	208499
FP000990_TTC4_1	promoter	97712	191825	94381
FP014020_REXO4_1	promoter	97201	182700	175271
FP022753_ADPRM_1	promoter	95652	186727	145572
FP022804_UBB_2	promoter	94976	187204	108411
FP018562_SPPL3_1	promoter	94206	180180	123243
FP025215_AP1M1_1	promoter	94124	168063	159277
FP010796_TRA2A_1	promoter	89885	168706	194787
FP026473_ZNF580_5	promoter	89322	178168	203836
FP005331_CELSR3_2	promoter	89227	171014	226279
FP027010_DSN1_1	promoter	88490	168732	166976
FP002721_SRP9_1	promoter	87841	160840	202066
FP029297_TENM1_2	promoter	87210	176923	318439
FP016235_TM7SF2_2	promoter	86704	166491	171000
FP022594_GPS2_5	promoter	86616	171971	172002
FP027729_YBEY_1	promoter	86406	164799	189103
FP000676_EPHA10_2	promoter	84657	150820	33975
FP024810_DPP9_1	promoter	83962	161851	119206
FP010245_GOPC_1	promoter	83212	161352	181593
FP003389_MDH1_1	promoter	83002	164865	231490
FP024951_FBXL12_3	promoter	82426	165975	131459
FP000737_CTPS1_1	promoter	82240	155564	118570
FP006238_SCHIP1_3	promoter	82004	162257	233754
FP028303_CHADL_1	promoter	81953	158440	103581
FP010538_SOD2_2	promoter	81906	152653	90790
FP004948_GHRL_3	promoter	81505	162503	135091
FP020765_NPTN_2	promoter	81453	154563	112353
FP014134_LRRC26_3	promoter	81424	143277	132625
FP003199_LTBP1_1	promoter	81353	157888	242612
FP019883_NRXN3_1	promoter	81194	155451	168783
FP018191_SYT1_3	promoter	81107	158342	174214
FP016241_CAPN1_4	promoter	80242	153081	86326
FP004237_NFE2L2_1	promoter	79815	152270	177261
FP027605_WRB_2	promoter	77914	146860	230285
FP003097_MAPRE3_1	promoter	77912	144469	165998
FP000512_STX12_1	promoter	77493	149489	166301
FP023301_TUBG2_1	promoter	76211	156176	106743
FP027292_STX16_5	promoter	75519	144363	89191
FP011575_PNPLA8_1	promoter	75453	144959	220990
FP017371_FAM234B_1	promoter	75404	143271	166553
FP016237_MRPL49_1	promoter	75151	143417	239257
FP009357_GNL1_1	promoter	74927	140895	157917
FP006057_NCK1_1	promoter	74900	143245	133997
FP016296_SART1_1	promoter	74768	147184	152681
FP010039_ME1_1	promoter	74662	139429	163014
FP027851_MAPK1_1	promoter	74577	131494	100137
FP024493_KDSR_2	promoter	74476	144572	98716
FP021054_CHD2_3	promoter	74188	144014	142811
FP012959_GPAA1_1	promoter	73282	132938	226562
FP001916_DAP3_1	promoter	73201	137835	113276
FP004896_BRPF1_1	promoter	73050	138102	209487
FP011459_SRRT_1	promoter	73023	139910	110812
FP014013_RPL7A_1	promoter	72761	139544	156147
FP025011_ILF3_1	promoter	72253	306181	368165
FP010208_FAM229B_1	promoter	72058	140749	206917
FP007118_CDS1_1	promoter	71688	140196	102687
FP010591_WDR27_3	promoter	70382	131634	81054
FP025896_ZNF234_1	promoter	70164	139891	210313
FP005981_COPG1_1	promoter	69941	129697	161656
FP024067_MRPL12_3	promoter	69934	131016	215396
FP011971_UBE3C_1	promoter	68825	125180	133786
FP003926_SMPD4_1	promoter	68707	125712	194858
FP018051_METTL1_1	promoter	68360	128453	196525
FP021202_PTX4_1	promoter	67783	129966	72801
FP003875_CCDC93_1	promoter	67440	131749	76129
FP024636_POLR2E_1	promoter	67227	129729	192885
FP008553_CXXC5_3	promoter	67213	127682	56097
FP004610_ABCB6_1	promoter	66942	125933	257368
FP012207_BNIP3L_1	promoter	66772	127649	161751
FP013393_CEP78_1	promoter	66654	124751	94983
FP001949_SMG5_1	promoter	66579	127710	244645
FP024678_TCF3_3	promoter	65528	121450	67548
FP028761_UBA1_1	promoter	65208	125492	190996
FP020272_GPR176_1	promoter	64961	127938	64482
FP005447_TEX264_1	promoter	64682	114529	92406
FP023524_IGF2BP1_3	promoter	64330	206746	148708
FP007927_ZNF131_6	promoter	64148	117985	158369
FP003739_MRPL30_2	promoter	63905	120723	111417
FP011514_POLR2J2_1	promoter	63881	133998	272919
FP000444_TMEM50A_1	promoter	63659	122158	197030
FP026798_MGME1_2	promoter	63500	125249	111413
FP009340_PPP1R11_1	promoter	63378	123395	179489
FP000082_FAM213B_2	promoter	63372	123134	67060
FP019676_ZBTB1_2	promoter	63071	165822	227671
FP010607_PDGFA_1	promoter	62856	118065	77162
FP028871_SMC1A_1	promoter	62768	114507	154218
FP003531_WDR54_1	promoter	62396	114500	145099
FP006561_GAK_1	promoter	62374	107016	70278
FP017413_STRAP_1	promoter	62369	113230	142699
FP026470_ZNF581_3	promoter	62137	117419	110432
FP002328_DHX9_1	promoter	62023	114178	101747
FP011461_ACHE_3	promoter	61976	119524	97618
FP018059_ATP23_1	promoter	61881	119031	185466
FP015538_RPL27A_1	promoter	61467	118935	181631
FP019389_DHRS1_1	promoter	61439	120892	66003
FP018806_POMP_1	promoter	61121	116241	107129
FP021986_C16orf70_1	promoter	61117	115107	66432
FP005405_SEMA3B_3	promoter	60902	118194	213580
FP022798_ZSWIM7_1	promoter	60855	106488	80263
FP028458_SBF1_2	promoter	60488	123897	115534
FP022121_MTSS1L_1	promoter	60026	110352	87020
FP005196_NKTR_1	promoter	59800	113553	59571
FP021321_ZNF174_1	promoter	59440	111872	110819
FP018296_CDK17_2	promoter	59412	115816	185427
FP022842_GID4_2	promoter	59333	106139	59049
FP011086_ZNF92_1	promoter	58979	114797	82823
FP022540_KIAA0753_1	promoter	58861	102962	98640
FP020067_WDR25_3	promoter	58731	108519	95014
FP021692_INO80E_4	promoter	58661	133612	192004
FP025519_RBM42_1	promoter	58645	110790	94670
FP006881_LNX1_2	promoter	58451	112668	163697
FP009654_ARMC12_2	promoter	58371	113526	119901
FP005431_TMEM115_1	promoter	58161	112600	215567
FP026928_SNTA1_3	promoter	58123	112169	51825
FP002942_RPS7_1	promoter	57449	115387	139521
FP008089_MRPS27_1	promoter	57383	114216	200432
FP021670_PRRT2_6	promoter	57251	107421	160150
FP010616_GET4_6	promoter	57233	111007	159885
FP005644_LMOD3_1	promoter	57186	113007	150899
FP027288_VAPB_1	promoter	57068	101820	103864
FP022223_GAN_1	promoter	56942	110453	132451
FP022541_MED31_1	promoter	56733	107006	98257
FP010652_NUDT1_2	promoter	56007	110930	175206
FP021084_LINS1_1	promoter	55149	103688	132746
FP002677_RAB3GAP2_1	promoter	54945	104903	129669
FP011584_ZNF277_1	promoter	54804	103683	90569
FP014760_SNCG_2	promoter	54637	106487	72045
FP004417_NDUFB3_2	promoter	54482	105935	133079
FP027107_SYS1_2	promoter	54456	101945	118485
FP015056_GSTO2_1	promoter	54173	107757	120966
FP012048_TNKS_1	promoter	53876	108237	53635
FP018660_SCARB1_2	promoter	53862	100834	44010
FP022949_KIAA0100_2	promoter	53860	107703	88725
FP011105_TMEM248_1	promoter	53817	103537	83528
FP018274_METAP2_1	promoter	53624	102159	119143
FP014557_CDK1_1	promoter	53389	98717	221579
FP006026_TMEM108_1	promoter	53227	97517	69818
FP022912_NLK_1	promoter	53044	102779	112475
FP018685_DDX51_1	promoter	52918	98168	38437
FP008053_SLC30A5_1	promoter	52390	102372	195435
FP001593_TXNIP_1	promoter	52359	100556	163676
FP028135_FOXRED2_1	promoter	52194	97083	57613
FP026976_SPAG4_2	promoter	52123	99795	66941
FP001828_C1orf43_2	promoter	52111	99546	98019
FP024821_SAFB2_1	promoter	51885	92032	171740
FP018710_ZNF26_1	promoter	51750	101641	93486
FP023604_STXBP4_1	promoter	51659	104344	102150
FP005483_DNAH1_1	promoter	51643	100014	54110
FP024025_EIF4A3_1	promoter	51633	98406	139826
FP018627_PITPNM2_1	promoter	51317	99658	118356
FP021993_FBXL8_2	promoter	51213	90389	68698
FP005883_DTX3L_1	promoter	51180	96232	78879
FP022074_CDH1_1	promoter	51145	100309	44950
FP022678_NAA38_4	promoter	51111	97064	87981
FP000802_ATP6V0B_1	promoter	50922	98781	49100
FP003558_AUP1_2	promoter	50915	103936	87227
FP027759_TUBA8_1	promoter	50467	97500	118922
FP005406_SEMA3B_4	promoter	50388	96922	141316
FP024152_ENOSF1_1	promoter	50324	92761	71134
FP013981_DDX31_2	promoter	50205	96508	84863
FP023145_CWC25_2	promoter	50189	100869	75183
FP007056_STBD1_3	promoter	50079	95938	92848
FP024087_MAFG_5	promoter	50037	95357	66591
FP000771_CFAP57_1	promoter	50018	92462	100929
FP013702_PRPF4_1	promoter	49872	96988	83237
FP019642_SLC38A6_2	promoter	49857	95013	31440
FP015691_SLC5A12_2	promoter	49822	98062	24326
FP017915_PYM1_3	promoter	49807	96818	133540
FP001594_TXNIP_2	promoter	49706	96080	155635
FP010385_TXLNB_2	promoter	49673	92835	132124
FP012936_ZNF707_2	promoter	49485	89120	85211
FP021810_VPS35_1	promoter	49369	93955	84214
FP009258_MRS2_1	promoter	49229	94518	126586
FP024575_TXNL4A_1	promoter	48995	92168	37577
FP018612_RSRC2_1	promoter	48974	91832	99492
FP025142_CCDC130_1	promoter	48884	95271	139773
FP021536_VWA3A_2	promoter	48816	99541	201757
FP011854_PDIA4_2	promoter	48765	90400	61700
FP015726_WT1_4	promoter	48452	92014	65984
FP021221_HAGH_2	promoter	48360	89723	131898
FP003146_MRPL33_2	promoter	47956	93170	63471
FP000998_PLPP3_4	promoter	47942	94039	90740
FP016812_DLAT_1	promoter	47761	91865	130478
FP017694_LARP4_2	promoter	47591	86759	38471
FP000109_KCNAB2_3	promoter	47457	88970	42642
FP004331_PMS1_1	promoter	47441	85054	93270
FP023605_STXBP4_2	promoter	47339	96267	35565
FP004410_CLK1_1	promoter	47195	84818	70565
FP010618_GET4_3	promoter	47132	91232	100088
FP011652_IQUB_2	promoter	46824	93217	162270
FP017226_CDCA3_1	promoter	46737	89243	120755
FP004533_ATIC_1	promoter	46723	89244	99573
FP009776_UBR2_1	promoter	46648	92923	111463
FP011327_TECPR1_1	promoter	46559	89118	19292
FP024999_PDE4A_3	promoter	46506	91181	166050
FP000809_SLC6A9_2	promoter	46453	91231	167652
FP002784_COG2_1	promoter	46348	89791	85319
FP022832_PEMT_2	promoter	46294	91245	157179
FP011141_LAT2_2	promoter	46265	85757	102824
FP000223_MTHFR_2	promoter	46226	85417	80261
FP004092_RBMS1_4	promoter	45940	87690	144263
FP029472_NSDHL_1	promoter	45861	89890	169931
FP000110_KCNAB2_1	promoter	45689	88272	112312
FP022836_RAI1_2	promoter	45628	87670	68684
FP009228_CAP2_2	promoter	45585	87707	72677
FP025397_ZNF714_3	promoter	45572	89133	221367
FP012673_RIDA_1	promoter	45549	84406	56981
FP023043_CCT6B_1	promoter	45329	88777	117438
