seqname	type	rep1	rep2	rep3
FP029297_TENM1_2	promoter	3709662	4776614	6523048
FP003344_RPS27A_2	promoter	1847781	2050982	2672333
FP024822_SAFB_1	promoter	1472349	1588360	2004553
FP010289_CENPW_2	promoter	947014	1149944	1568304
FP016114_NXF1_1	promoter	701763	781786	1014370
FP014975_KAZALD1_5	promoter	602037	708125	930877
FP029542_RPL10_2	promoter	581298	646979	839058
FP015643_LDHA_1	promoter	568546	611888	749399
FP023562_COL1A1_1	promoter	453653	553743	750604
FP026161_BCL2L12_2	promoter	453042	503240	650526
FP007601_CLCN3_1	promoter	422446	470861	598080
FP011322_ASNS_1	promoter	371781	431999	547616
FP011679_HILPDA_1	promoter	357714	406313	519333
FP015142_CACUL1_1	promoter	303358	345985	456435
FP009577_BRD2_1	promoter	247937	316175	454450
FP008931_NPM1_1	promoter	239513	292274	392639
FP005387_IP6K1_1	promoter	235396	270876	358741
FP021895_HERPUD1_1	promoter	226721	257518	327832
FP010796_TRA2A_1	promoter	224584	265448	352893
FP009639_ANKS1A_1	promoter	209451	246284	322877
FP013102_SNAPC3_2	promoter	196549	221502	279592
FP011095_CRCP_2	promoter	190260	228698	310842
FP003134_IFT172_1	promoter	187653	218376	289789
FP019830_ACYP1_1	promoter	182831	207768	267673
FP018243_BTG1_1	promoter	181537	207253	271747
FP012669_RPL30_2	promoter	173165	203028	275100
FP018822_USPL1_1	promoter	171731	192379	247526
FP011493_RASA4B_2	promoter	166697	180908	230548
FP013277_CLTA_1	promoter	162884	177153	223994
FP013461_CKS2_1	promoter	161025	183053	238365
FP011126_BAZ1B_1	promoter	160280	180819	230025
FP001593_TXNIP_1	promoter	152851	174804	228456
FP027678_RRP1_1	promoter	150837	159902	193893
FP029320_AIFM1_1	promoter	150429	174124	226985
FP001594_TXNIP_2	promoter	146563	167255	216859
FP015158_MCMBP_2	promoter	145576	164202	211021
FP005334_IP6K2_1	promoter	142557	165346	213447
FP019964_LGMN_1	promoter	142250	159484	202023
FP009511_NELFE_1	promoter	139747	159515	210927
FP008653_PCDHGB4_2	promoter	137704	148202	186669
FP013676_DNAJC25_1	promoter	135627	155556	199129
FP014983_POLL_1	promoter	134517	147842	186203
FP007009_COX18_1	promoter	134488	152636	198491
FP025215_AP1M1_1	promoter	134437	150396	195692
FP018051_METTL1_1	promoter	131268	154100	208029
FP028877_PHF8_1	promoter	126150	142718	185149
FP028871_SMC1A_1	promoter	122938	142048	188125
FP005386_GMPPB_1	promoter	122300	132742	165222
FP020884_ST20_1	promoter	121161	139108	176132
FP024067_MRPL12_3	promoter	120692	137176	179118
FP019755_SMOC1_1	promoter	117427	134992	175227
FP022458_PELP1_1	promoter	115344	124242	155752
FP005161_TTC21A_1	promoter	114962	123837	152153
FP017974_PTGES3_1	promoter	114875	138340	189737
FP014134_LRRC26_3	promoter	114165	121358	151493
FP000224_CLCN6_1	promoter	114154	131718	169932
FP025623_ZNF571_2	promoter	112221	132327	173262
FP002632_ATF3_1	promoter	110334	352966	441445
FP001251_LRRC8D_4	promoter	110225	126010	157391
FP021986_C16orf70_1	promoter	109138	117498	145607
FP027605_WRB_2	promoter	108846	142344	190025
FP027276_RAE1_2	promoter	107160	161941	222338
FP020765_NPTN_2	promoter	107099	119708	151656
FP004237_NFE2L2_1	promoter	106930	118463	152863
FP022594_GPS2_5	promoter	106302	126554	168616
FP006637_NSG1_2	promoter	105438	119870	156456
FP017483_BHLHE41_4	promoter	103471	120936	156742
FP026597_MZF1_1	promoter	100763	113768	147346
FP001535_CD58_1	promoter	99629	114544	146600
FP010338_RPS12_1	promoter	97501	123337	173303
FP005950_MCM2_1	promoter	96229	106329	133497
FP027729_YBEY_1	promoter	95010	108093	138972
FP020649_SPG21_2	promoter	92863	103792	132580
FP028319_DESI1_1	promoter	92034	105109	137107
FP028761_UBA1_1	promoter	91274	103717	136075
FP025011_ILF3_1	promoter	88700	228811	268590
FP019007_CKAP2_1	promoter	88670	102395	133308
FP003389_MDH1_1	promoter	87871	111695	156877
FP005359_CCDC71_1	promoter	87762	103611	136057
FP018274_METAP2_1	promoter	87204	101546	131795
FP001949_SMG5_1	promoter	87176	107745	151458
FP024821_SAFB2_1	promoter	86226	95695	124497
FP011514_POLR2J2_1	promoter	86112	101346	125653
FP010245_GOPC_1	promoter	85941	97390	127519
FP015867_SPI1_2	promoter	85915	102968	138918
FP004610_ABCB6_1	promoter	85876	98246	128327
FP011459_SRRT_1	promoter	84786	97339	128806
FP014557_CDK1_1	promoter	83943	102117	143606
FP019883_NRXN3_1	promoter	82274	96560	130684
FP012921_ZC3H3_2	promoter	82070	91762	116605
FP013960_FAM78A_3	promoter	81649	92074	117035
FP029472_NSDHL_1	promoter	80783	97077	131789
FP001146_FUBP1_1	promoter	79904	100379	142049
FP004697_NCL_1	promoter	79409	224592	269045
FP024025_EIF4A3_1	promoter	78861	89622	119172
FP005331_CELSR3_2	promoter	78821	94394	124081
FP000511_FAM76A_1	promoter	78703	88290	111897
FP021200_TELO2_1	promoter	78515	87256	110959
FP023524_IGF2BP1_3	promoter	77972	152792	200010
FP020638_PCLAF_5	promoter	77527	85786	107518
FP020497_SCG3_1	promoter	76694	91486	122567
FP009258_MRS2_1	promoter	76401	89227	116378
FP000737_CTPS1_1	promoter	76066	85836	108228
FP006920_PAICS_3	promoter	75985	87563	114693
FP006238_SCHIP1_3	promoter	75926	91441	125614
FP027154_NCOA5_1	promoter	75865	82226	101531
FP017065_PRDM10_3	promoter	75144	108512	148459
FP014020_REXO4_1	promoter	75104	87452	115617
FP021670_PRRT2_6	promoter	74682	81353	100497
FP018587_PSMD9_1	promoter	74185	81915	101164
FP018125_MDM2_1	promoter	74074	89994	121410
FP002721_SRP9_1	promoter	73796	81384	104211
FP009680_SRSF3_1	promoter	73719	84201	112226
FP026473_ZNF580_5	promoter	73704	88488	118204
FP011971_UBE3C_1	promoter	72642	82509	101477
FP003097_MAPRE3_1	promoter	72506	79870	101865
FP003199_LTBP1_1	promoter	72500	108710	146804
FP005431_TMEM115_1	promoter	72354	85224	112326
FP014013_RPL7A_1	promoter	71407	80617	106104
FP001793_CHTOP_1	promoter	70693	79606	106462
FP011586_IFRD1_1	promoter	70355	82653	109908
FP004092_RBMS1_4	promoter	69359	78561	100008
FP011847_CNTNAP2_2	promoter	68838	77899	100128
FP014362_PDSS1_2	promoter	68694	87078	123366
FP020658_CILP_2	promoter	68352	113523	166820
FP002784_COG2_1	promoter	68250	77026	97593
FP022540_KIAA0753_1	promoter	67616	76606	101744
FP016237_MRPL49_1	promoter	67231	78549	103648
FP000512_STX12_1	promoter	67166	75079	94292
FP015538_RPL27A_1	promoter	66880	80067	108856
FP020067_WDR25_3	promoter	66641	74392	94254
FP024922_RPS28_1	promoter	66151	78697	103160
FP007118_CDS1_1	promoter	66131	77103	100417
FP016296_SART1_1	promoter	65944	78600	104709
FP029541_RPL10_1	promoter	65844	70690	92151
FP005981_COPG1_1	promoter	65791	77237	102088
FP000546_SRSF4_1	promoter	65614	79447	105755
FP018191_SYT1_3	promoter	65604	79189	108255
FP003739_MRPL30_2	promoter	65373	72761	94864
FP000809_SLC6A9_2	promoter	65111	77329	102883
FP005406_SEMA3B_4	promoter	64942	78723	104977
FP022541_MED31_1	promoter	64900	75969	100825
FP010385_TXLNB_2	promoter	64852	70359	90824
FP001794_CHTOP_2	promoter	64804	77584	104621
FP007927_ZNF131_6	promoter	64055	65472	80722
FP008687_RELL2_2	promoter	63781	72294	91357
FP026578_RPS5_1	promoter	63289	74099	98158
FP024636_POLR2E_1	promoter	63193	73481	96185
FP022357_C17orf97_1	promoter	62917	70485	88373
FP028649_SAT1_1	promoter	62902	75205	102442
FP017413_STRAP_1	promoter	62282	68523	89202
FP028303_CHADL_1	promoter	62272	71295	90029
FP024951_FBXL12_3	promoter	62184	74096	98130
FP022661_EFNB3_1	promoter	61600	71614	93816
FP021084_LINS1_1	promoter	61379	73051	99568
FP027010_DSN1_1	promoter	60840	69102	88188
FP008973_KIAA1191_1	promoter	60641	71092	92202
FP003926_SMPD4_1	promoter	60361	70259	95041
FP008312_KCNN2_2	promoter	60033	87518	120986
FP009340_PPP1R11_1	promoter	59763	72949	100363
FP018806_POMP_1	promoter	59295	67762	89094
